,Name,Address,입점수,광역시도,시도
281,빽다방,광주광역시 서구,3,광주광역시,서구
282,빽다방,인천광역시 남구,5,인천광역시,남구
283,빽다방,인천광역시 남구,5,인천광역시,남구
284,빽다방,세종특별자치시 세종특별자치시,3,세종특별자치시,세종특별자치시
285,빽다방,인천광역시 계양구,3,인천광역시,계양구
286,빽다방,대구광역시 달성군,2,대구광역시,달성군
287,빽다방,대전광역시 서구,10,대전광역시,서구
288,빽다방,대전광역시 중구,7,대전광역시,중구
289,빽다방,인천광역시 강화군,1,인천광역시,강화군
290,빽다방,울산광역시 남구,5,울산광역시,남구
291,빽다방,광주광역시 동구,4,광주광역시,동구
292,빽다방,울산광역시 울주군,1,울산광역시,울주군
293,빽다방,대구광역시 동구,2,대구광역시,동구
294,빽다방,대전광역시 중구,7,대전광역시,중구
295,빽다방,인천광역시 연수구,8,인천광역시,연수구
296,빽다방,광주광역시 서구,3,광주광역시,서구
297,빽다방,인천광역시 서구,4,인천광역시,서구
298,빽다방,인천광역시 계양구,3,인천광역시,계양구
299,빽다방,세종특별자치시 세종특별자치시,3,세종특별자치시,세종특별자치시
300,빽다방,인천광역시 중구,4,인천광역시,중구
301,빽다방,경상남도 통영시,3,경상남도,통영시
302,빽다방,전라북도 익산시,2,전라북도,익산시
303,빽다방,제주특별자치도 서귀포시,6,제주특별자치도,서귀포시
304,빽다방,충청남도 논산시,1,충청남도,논산시
305,빽다방,전라남도 순천시,2,전라남도,순천시
306,빽다방,제주특별자치도 제주시,5,제주특별자치도,제주시
307,빽다방,경상남도 창원시 성산구,1,경상남도,성산구
308,빽다방,경상북도 경산시,3,경상북도,경산시
309,빽다방,경상북도 포항시 북구,2,경상북도,북구
310,빽다방,전라북도 전주시 덕진구,1,전라북도,덕진구
311,빽다방,경상남도 진주시,4,경상남도,진주시
312,빽다방,경상북도 안동시,2,경상북도,안동시
313,빽다방,경상남도 창원시 의창구,2,경상남도,의창구
314,빽다방,충청남도 아산시,4,충청남도,아산시
315,빽다방,제주특별자치도 제주시,5,제주특별자치도,제주시
316,빽다방,충청남도 아산시,4,충청남도,아산시
317,빽다방,전라북도 전주시 완산구,5,전라북도,완산구
