,광역시도,시도,입점수,ID
91,경상북도,상주시,2,상주
92,경상북도,성주군,1,성주
93,경상북도,안동시,6,안동
94,경상북도,영덕군,2,영덕
95,경상북도,영주시,4,영주
96,경상북도,영천시,2,영천
97,경상북도,예천군,2,예천
98,경상북도,울진군,2,울진
99,경상북도,청도군,2,청도
100,경상북도,청송군,1,청송
101,경상북도,칠곡군,3,칠곡
102,광주광역시,광산구,18,광주 광산
103,광주광역시,남구,5,광주 남구
104,광주광역시,동구,4,광주 동구
105,광주광역시,북구,11,광주 북구
106,광주광역시,서구,14,광주 서구
107,대구광역시,남구,4,대구 남구
108,대구광역시,달서구,9,대구 달서
109,대구광역시,달성군,7,대구 달성
110,대구광역시,동구,7,대구 동구
111,대구광역시,북구,8,대구 북구
112,대구광역시,수성구,8,대구 수성
113,대구광역시,중구,9,대구 중구
114,대전광역시,서구,1,대전 서구
115,부산광역시,강서구,9,부산 강서
116,부산광역시,금정구,16,부산 금정
117,부산광역시,기장군,9,부산 기장
118,부산광역시,남구,13,부산 남구
119,부산광역시,동구,8,부산 동구
120,부산광역시,동래구,22,부산 동래
121,부산광역시,부산진구,26,부산 부산진
122,부산광역시,북구,13,부산 북구
123,부산광역시,사상구,14,부산 사상
124,부산광역시,사하구,16,부산 사하
125,부산광역시,서구,9,부산 서구
126,부산광역시,수영구,11,부산 수영
127,부산광역시,연제구,16,부산 연제
128,부산광역시,영도구,3,부산 영도
129,부산광역시,중구,9,부산 중구
130,부산광역시,해운대구,20,부산 해운대
131,서울특별시,강남구,41,서울 강남
132,서울특별시,강동구,24,서울 강동
133,서울특별시,강북구,19,서울 강북
134,서울특별시,강서구,43,서울 강서
135,서울특별시,관악구,29,서울 관악
136,서울특별시,광진구,24,서울 광진
137,서울특별시,구로구,30,서울 구로
138,서울특별시,금천구,21,서울 금천
139,서울특별시,노원구,34,서울 노원
140,서울특별시,도봉구,19,서울 도봉
141,서울특별시,동대문구,22,서울 동대문
142,서울특별시,동작구,20,서울 동작
143,서울특별시,마포구,34,서울 마포
144,서울특별시,서대문구,19,서울 서대문
145,서울특별시,서초구,28,서울 서초
146,서울특별시,성동구,24,서울 성동
147,서울특별시,성북구,28,서울 성북
148,서울특별시,송파구,42,서울 송파
149,서울특별시,양천구,23,서울 양천
150,서울특별시,영등포구,34,서울 영등포
151,서울특별시,용산구,13,서울 용산
152,서울특별시,은평구,23,서울 은평
153,서울특별시,종로구,31,서울 종로
154,서울특별시,중구,30,서울 중구
155,서울특별시,중랑구,18,서울 중랑
156,세종특별자치시,세종특별자치시,14,세종
157,울산광역시,남구,27,울산 남구
158,울산광역시,동구,8,울산 동구
159,울산광역시,북구,18,울산 북구
160,울산광역시,울주군,11,울산 울주
161,울산광역시,중구,15,울산 중구
162,인천광역시,강화군,1,인천 강화
163,인천광역시,계양구,20,인천 계양
164,인천광역시,남구,19,인천 남구
165,인천광역시,남동구,33,인천 남동
166,인천광역시,동구,2,인천 동구
167,인천광역시,부평구,34,인천 부평
168,인천광역시,서구,34,인천 서구
169,인천광역시,연수구,19,인천 연수
170,인천광역시,중구,16,인천 중구
171,전라남도,강진군,1,강진
172,전라남도,고흥군,2,고흥
173,전라남도,곡성군,1,곡성
174,전라남도,광양시,6,광양
175,전라남도,나주시,1,나주
176,전라남도,담양군,1,담양
177,전라남도,목포시,11,목포
178,전라남도,무안군,2,무안
179,전라남도,순천시,14,순천
180,전라남도,여수시,11,여수
181,전라남도,영광군,1,영광
182,전라남도,영암군,1,영암
183,전라남도,완도군,1,완도
184,전라남도,장성군,1,장성
185,전라남도,장흥군,1,장흥
186,전라남도,진도군,1,진도
187,전라남도,해남군,1,해남
188,전라남도,화순군,1,화순
