,ID,CoffeeBean,Ediya,Paikdabang,Starbucks,총매장수
0,원주,1.0,17.0,25.0,6,49.0
1,광명,1.0,10.0,4.0,8,23.0
2,구리,1.0,15.0,9.0,3,28.0
3,군포,1.0,10.0,64.0,4,79.0
4,김포,2.0,19.0,49.0,8,78.0
5,남양주,1.0,39.0,9.0,7,56.0
6,이천,1.0,10.0,1.0,5,17.0
7,파주,2.0,19.0,36.0,5,62.0
8,평택,1.0,15.0,16.0,5,37.0
9,하남,1.0,19.0,1.0,9,30.0
10,화성,5.0,35.0,144.0,11,195.0
11,진주,1.0,21.0,16.0,6,44.0
12,경주,1.0,22.0,4.0,7,34.0
13,광주 서구,1.0,14.0,9.0,14,38.0
14,대구 중구,1.0,9.0,16.0,9,35.0
15,부산 기장,1.0,9.0,1.0,3,14.0
16,부산 부산진,2.0,26.0,9.0,17,54.0
17,부산 수영,1.0,11.0,1.0,7,20.0
18,부산 중구,2.0,9.0,9.0,6,26.0
19,부산 해운대,2.0,20.0,16.0,27,65.0
20,서울 강남,12.0,41.0,256.0,76,385.0
21,서울 강동,3.0,24.0,25.0,13,65.0
22,서울 강북,1.0,19.0,1.0,5,26.0
23,서울 강서,3.0,43.0,64.0,14,124.0
24,서울 관악,1.0,29.0,25.0,10,65.0
25,서울 광진,1.0,24.0,25.0,14,64.0
26,서울 구로,1.0,30.0,25.0,10,66.0
27,서울 노원,1.0,34.0,25.0,12,72.0
28,서울 동대문,2.0,22.0,25.0,8,57.0
29,서울 마포,7.0,34.0,36.0,32,109.0
30,서울 서대문,1.0,19.0,16.0,21,57.0
31,서울 서초,8.0,28.0,81.0,45,162.0
32,서울 성북,2.0,28.0,36.0,11,77.0
33,서울 송파,11.0,42.0,121.0,29,203.0
34,서울 양천,1.0,23.0,16.0,14,54.0
35,서울 영등포,3.0,34.0,36.0,35,108.0
36,서울 용산,2.0,13.0,16.0,17,48.0
37,서울 은평,1.0,23.0,36.0,8,68.0
38,서울 종로,5.0,31.0,49.0,38,123.0
